poids, nom, prix, marque, origine, stock, taille
1321,Summer,3.05,Taku,France,55,S
1315,Women's Fashion,5.00,Taku,France,22,S
1082,Fashion,6.00,Taku,France,70,S
961,Women,2.55,Taku,France,22,S
905,Casual,6.00,Taku,France,10,S
636,Plus Size,2.55,Piece,Espagne,11,S
580,sleeveless,2.55,Piece,Espagne,13,S
549,Dress,2.55,Piece,Espagne,24,S
540,Shorts,6.00,Piece,Espagne,65,S
507,Tops,4.99,Piece,Espagne,11,S
328,sexy,4.99,Farwest,USA,12,S
324,Beach,2.99,Farwest,USA,13,S
300,Sleeve,9.99,Farwest,USA,32,S
296,short sleeves,6.00,Farwest,USA,11,S
296,Print,6.00,Gacci,Italie,9,S
281,Shirt,4.99,Gacci,Italie,10,S
265,Tank,4.99,Gacci,Italie,4,S
254,Necks,6.00,Gacci,Italie,7,S
241,V-neck,1.99,Gacci,Italie,12,S
1321,Summer,3.05,Taku,France,55,L
1315,Women's Fashion,5.00,Taku,France,22,L
1082,Fashion,6.00,Taku,France,70,L
961,Women,2.55,Taku,France,22,L
905,Casual,6.00,Taku,France,10,L
636,Plus Size,2.55,Piece,Espagne,11,L
580,sleeveless,2.55,Piece,Espagne,13,L
549,Dress,2.55,Piece,Espagne,24,L
540,Shorts,6.00,Piece,Espagne,65,L
507,Tops,4.99,Piece,Espagne,11,L
328,sexy,4.99,Farwest,USA,12,L
324,Beach,2.99,Farwest,USA,13,L
300,Sleeve,9.99,Farwest,USA,32,L
296,short sleeves,6.00,Farwest,USA,11,L
296,Print,6.00,Gacci,Italie,9,L
281,Shirt,4.99,Gacci,Italie,10,L
265,Tank,4.99,Gacci,Italie,4,L
254,Necks,6.00,Gacci,Italie,7,L
241,V-neck,1.99,Gacci,Italie,12,L
1321,Summer,3.05,Taku,France,55,M
1315,Women's Fashion,5.00,Taku,France,22,M
1082,Fashion,6.00,Taku,France,70,M
961,Women,2.55,Taku,France,22,M
905,Casual,6.00,Taku,France,10,M
636,Plus Size,2.55,Piece,Espagne,11,M
580,sleeveless,2.55,Piece,Espagne,13,M
549,Dress,2.55,Piece,Espagne,24,M
540,Shorts,6.00,Piece,Espagne,65,M
