id_order,statut,date_expedition,date_livraison
1,livré,13-05-22,17-08-22
2,livré,25-05-22,23-09-22
3,préparation,28-05-22,17-07-22
4,préparation,03-05-22,11-09-22
5,en livraison,07-05-22,26-07-22
6,livré,30-06-22,27-07-22
7,en livraison,22-05-22,23-08-22
8,livré,11-05-22,17-09-22
9,livré,15-06-22,16-08-22
10,en livraison,24-06-22,31-07-22
11,livré,27-05-22,08-08-22
12,préparation,24-06-22,07-10-22
13,en livraison,04-05-22,12-08-22
14,préparation,06-05-22,23-09-22
15,préparation,23-06-22,12-10-22
16,préparation,23-05-22,07-10-22
17,préparation,15-06-22,07-07-22
18,préparation,08-06-22,28-07-22
19,en livraison,25-04-22,17-07-22
20,en livraison,12-04-22,11-07-22
21,livré,22-05-22,29-07-22
22,en livraison,02-06-22,02-10-22
23,préparation,01-05-22,07-10-22
24,préparation,14-04-22,30-08-22
25,préparation,27-06-22,30-07-22
26,en livraison,24-06-22,14-07-22
27,en livraison,15-04-22,11-09-22
28,préparation,18-05-22,28-07-22
29,livré,09-05-22,20-09-22
30,en livraison,18-05-22,10-08-22
31,en livraison,22-06-22,15-07-22
32,préparation,12-04-22,16-07-22
33,en livraison,12-05-22,02-08-22
34,livré,03-06-22,13-10-22
35,en livraison,28-06-22,11-10-22
36,livré,21-04-22,04-08-22
37,en livraison,06-04-22,11-07-22
38,livré,16-04-22,04-09-22
39,en livraison,16-05-22,28-07-22
40,préparation,20-06-22,29-08-22
41,en livraison,23-05-22,28-07-22
42,préparation,22-05-22,11-09-22
43,préparation,09-06-22,23-07-22
44,préparation,12-06-22,26-08-22
45,en livraison,30-06-22,14-08-22
46,préparation,02-05-22,19-10-22
47,livré,11-04-22,13-10-22
48,préparation,17-04-22,20-08-22
49,en livraison,20-04-22,18-09-22
50,livré,12-06-22,03-09-22
51,en livraison,31-05-22,31-07-22
52,préparation,14-04-22,10-08-22
53,en livraison,29-05-22,19-07-22
54,livré,01-05-22,08-09-22
55,en livraison,09-06-22,24-08-22
56,en livraison,04-04-22,27-07-22
57,livré,28-04-22,03-10-22
58,en livraison,13-06-22,29-07-22
59,en livraison,16-05-22,09-07-22
60,livré,13-06-22,07-09-22
61,livré,24-04-22,12-10-22
62,en livraison,19-04-22,08-09-22
63,préparation,19-04-22,12-07-22
64,préparation,07-04-22,21-07-22
65,livré,17-05-22,06-10-22
66,en livraison,21-04-22,09-07-22
67,en livraison,27-04-22,06-08-22
68,en livraison,02-06-22,28-07-22
69,livré,04-04-22,07-07-22
70,en livraison,06-06-22,28-08-22
71,livré,29-05-22,14-10-22
72,en livraison,13-05-22,06-10-22
73,préparation,25-06-22,19-07-22
74,en livraison,14-04-22,15-08-22
75,livré,06-06-22,17-09-22
76,préparation,22-04-22,22-07-22
77,préparation,04-05-22,02-08-22
78,livré,27-06-22,09-08-22
79,préparation,31-05-22,19-09-22
80,préparation,24-06-22,02-09-22
81,en livraison,11-06-22,27-07-22
82,en livraison,11-05-22,26-08-22
